# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,
# Mon Oct 23 17:53:33 2023,,,,,,,,,,,,
#,,,,,,,,,,,,
# COLUMN pl_name:        Planet Name,,,,,,,,,,,,
# COLUMN sy_snum:        Number of Stars,,,,,,,,,,,,
# COLUMN sy_pnum:        Number of Planets,,,,,,,,,,,,
# COLUMN discoverymethod: Discovery Method,,,,,,,,,,,,
# COLUMN disc_year:      Discovery Year,,,,,,,,,,,,
# COLUMN disc_facility:  Discovery Facility,,,,,,,,,,,,
# COLUMN pl_orbper:      Orbital Period [days],,,,,,,,,,,,
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass],,,,,,,,,,,,
# COLUMN st_teff:        Stellar Effective Temperature [K],,,,,,,,,,,,
# COLUMN st_rad:         Stellar Radius [Solar Radius],,,,,,,,,,,,
# COLUMN st_mass:        Stellar Mass [Solar mass],,,,,,,,,,,,
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)],,,,,,,,,,,,
# COLUMN sy_dist:        Distance [pc],,,,,,,,,,,,
#,,,,,,,,,,,,
pl_name,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_orbper,pl_bmasse,st_teff,st_rad,st_mass,st_logg,sy_dist
55 Cnc c,2,5,Radial Velocity,2004,McDonald Observatory,43.93,68.96911,0,0,0.95,0,12.5855
55 Cnc c,2,5,Radial Velocity,2004,McDonald Observatory,44.3787,52.44,5250,0.96,0.9,4.42,12.5855
55 Cnc c,2,5,Radial Velocity,2004,McDonald Observatory,44.373,56.6985,5250,0.96,0.9,4.42,12.5855
55 Cnc c,2,5,Radial Velocity,2004,McDonald Observatory,44.3989,51.2,5172,0.94,0.91,4.43,12.5855
55 Cnc c,2,5,Radial Velocity,2004,McDonald Observatory,44.3446,53.711,5250,0.96,0.9,4.42,12.5855
55 Cnc c,2,5,Radial Velocity,2004,McDonald Observatory,44.4175,54.4738,0,0,0.95,0,12.5855
55 Cnc c,2,5,Radial Velocity,2004,McDonald Observatory,44.38,52.44,5250,0.96,0.9,4.42,12.5855
55 Cnc d,2,5,Radial Velocity,2002,Lick Observatory,4820,908.98924,5317.89,0.96,0.97,4.46,12.5855
55 Cnc d,2,5,Radial Velocity,2002,Lick Observatory,5218,1218.827,5250,0.96,0.9,4.42,12.5855
55 Cnc d,2,5,Radial Velocity,2002,Lick Observatory,5360,1287.2115,0,0,0.95,0,12.5855
55 Cnc d,2,5,Radial Velocity,2002,Lick Observatory,5370,1220.42,5250,0.96,0.9,4.42,12.5855
55 Cnc d,2,5,Radial Velocity,2002,Lick Observatory,4545,918.49,0,0,0,0,12.5855
55 Cnc d,2,5,Radial Velocity,2002,Lick Observatory,4825,1232.493,0,0,0.95,0,12.5855
55 Cnc d,2,5,Radial Velocity,2002,Lick Observatory,4867,1226.77,5250,0.96,0.9,4.42,12.5855
55 Cnc d,2,5,Radial Velocity,2002,Lick Observatory,4517.4,1243.35096,0,0,0.95,0,12.5855
55 Cnc d,2,5,Radial Velocity,2002,Lick Observatory,5574.2,991.6,5172,0.94,0.91,4.43,12.5855
55 Cnc d,2,5,Radial Velocity,2002,Lick Observatory,4909,1121.89,5250,0.96,0.9,4.42,12.5855
55 Cnc e,2,5,Radial Velocity,2004,McDonald Observatory,0,8.08,5250,0.96,0.9,4.42,12.5855
55 Cnc e,2,5,Radial Velocity,2004,McDonald Observatory,0.7365417,0,0,0,0,0,12.5855
55 Cnc e,2,5,Radial Velocity,2004,McDonald Observatory,0.7365478,8.09479,5250,0.96,0.9,4.42,12.5855
55 Cnc e,2,5,Radial Velocity,2004,McDonald Observatory,0.736539,8.08,5250,0.96,0.9,4.42,12.5855
55 Cnc e,2,5,Radial Velocity,2004,McDonald Observatory,2.79674,7.4687,5250,0.96,0.9,4.42,12.5855
55 Cnc e,2,5,Radial Velocity,2004,McDonald Observatory,0.73654582,0,5250,0.96,0,4.42,12.5855
55 Cnc e,2,5,Radial Velocity,2004,McDonald Observatory,0.7365437,7.81,5234,0.94,0.91,4.45,12.5855
55 Cnc e,2,5,Radial Velocity,2004,McDonald Observatory,0.73654604,0,0,0,0,0,12.5855
55 Cnc e,2,5,Radial Velocity,2004,McDonald Observatory,2.808,14.30235,0,0,0.95,0,12.5855
55 Cnc e,2,5,Radial Velocity,2004,McDonald Observatory,0.737,7.74,5172,0.95,0.87,4.43,12.5855
55 Cnc e,2,5,Radial Velocity,2004,McDonald Observatory,0.7365474,8.59,0,0.98,1.01,0,12.5855
55 Cnc e,2,5,Radial Velocity,2004,McDonald Observatory,0.736546,8.37,5250,0.96,0.9,4.42,12.5855
55 Cnc e,2,5,Radial Velocity,2004,McDonald Observatory,0.7365515,8.13928,0,0,0.95,0,12.5855
55 Cnc e,2,5,Radial Velocity,2004,McDonald Observatory,0.73654,8.63,0,0.94,0.96,0,12.5855
55 Cnc e,2,5,Radial Velocity,2004,McDonald Observatory,0,0,5250,0.96,0.9,4.42,12.5855
55 Cnc e,2,5,Radial Velocity,2004,McDonald Observatory,0.7365474,7.99,5172,0.94,0.91,4.43,12.5855
55 Cnc e,2,5,Radial Velocity,2004,McDonald Observatory,0.7365445,9.37594,5317.89,0.96,0.97,4.46,12.5855
55 Cnc f,2,5,Radial Velocity,2007,Multiple Observatories,262,44.812,0,0,0.95,0,12.5855
55 Cnc f,2,5,Radial Velocity,2007,Multiple Observatories,260.91,47.0051,5250,0.96,0.9,4.42,12.5855
55 Cnc f,2,5,Radial Velocity,2007,Multiple Observatories,260.7,44.812,5250,0.96,0.9,4.42,12.5855
55 Cnc f,2,5,Radial Velocity,2007,Multiple Observatories,259.88,47.8,5172,0.94,0.91,4.43,12.5855
55 Cnc f,2,5,Radial Velocity,2007,Multiple Observatories,260,45.766,5250,0.96,0.9,4.42,12.5855
55 Cnc f,2,5,Radial Velocity,2007,Multiple Observatories,260.98,46.87969,5317.89,0.96,0.97,4.46,12.5855
55 Cnc f,2,5,Radial Velocity,2007,Multiple Observatories,261.2,54.664,5250,0.96,0.9,4.42,12.5855
6 Lyn b,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,899,762.8,4978,5.2,1.7,3.16,54.6599
6 Lyn b,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,874.774,702.4043,0,5.2,1.82,0,54.6599
6 Lyn b,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,919.86,597.83523,4941,4.94,1.32,3.16,54.6599
6 Lyn b,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,934.3,638.8383,4938,5.2,1.44,3.19,54.6599
61 Vir b,1,3,Radial Velocity,2009,Multiple Observatories,4.21487,5.11704,5585.57,1.03,0.91,4.37,8.50332
61 Vir b,1,3,Radial Velocity,2009,Multiple Observatories,4.215,5.1,5577,0.96,0.94,4.34,8.50332
61 Vir c,1,3,Radial Velocity,2009,Multiple Observatories,38.0957,16.1139,5585.57,1.03,0.91,4.37,8.50332
61 Vir c,1,3,Radial Velocity,2009,Multiple Observatories,38.021,18.2,5577,0.96,0.94,4.34,8.50332
61 Vir d,1,3,Radial Velocity,2009,Multiple Observatories,123.01,22.9,5577,0.96,0.94,4.34,8.50332
7 CMa b,1,2,Radial Velocity,2011,Anglo-Australian Telescope,796,781.8618,4794.52,4.91,0,0,19.8101
7 CMa b,1,2,Radial Velocity,2011,Anglo-Australian Telescope,763,826.3,4792,2.3,1.52,3.25,19.8101
7 CMa b,1,2,Radial Velocity,2011,Anglo-Australian Telescope,735.1,587.9855,4826,4.87,1.34,3.19,19.8101
7 CMa c,1,2,Radial Velocity,2019,Multiple Observatories,996,276.5121,4826,4.87,1.34,3.19,19.8101
70 Vir b,1,1,Radial Velocity,1996,Lick Observatory,116.689,2084.88,0,0,0,0,17.9011
70 Vir b,1,1,Radial Velocity,1996,Lick Observatory,116.6884,2421.8646,5531,1.84,1.14,3.97,17.9011
70 Vir b,1,1,Radial Velocity,1996,Lick Observatory,116.69335,2297.89938,5481.86,1.92,1.06,3.89,17.9011
70 Vir b,1,1,Radial Velocity,1996,Lick Observatory,116.688,2357.02728,5495,1.89,1.09,3.95,17.9011
70 Vir b,1,1,Radial Velocity,1996,Lick Observatory,116.6884,2380.45,5545,0,1.11,4.07,17.9011
70 Vir b,1,1,Radial Velocity,1996,Lick Observatory,116.6926,2351.942,5439,1.94,1.09,3.9,17.9011
75 Cet b,2,2,Radial Velocity,2012,Okayama Astrophysical Observatory,691.9,953.49,4846,10.5,2.49,2.63,82.9613
75 Cet b,2,2,Radial Velocity,2012,Okayama Astrophysical Observatory,696.62,787.89662,4809,10.38,1.92,2.69,82.9613
75 Cet c,2,2,Radial Velocity,2023,Okayama Astrophysical Observatory,2051.62,289.85951,4809,10.38,1.92,2.69,82.9613
8 UMi b,1,1,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,93.4,416.3573,4847,10.3,1.44,2.57,162.552
8 UMi b,1,1,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,93.4,476.745,4847.4,9.9,1.8,2.57,162.552
81 Cet b,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,952.7,1684.4,4785,11,2.4,2.35,101.26
81 Cet b,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,1274.4,0,0,1.6,0,101.26
81 Cet b,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,1005.57,1051.05854,4734,11.21,1.23,2.41,101.26
91 Aqr b,3,1,Radial Velocity,2013,Lick Observatory,181.4,1017,4665,11,1.4,2.52,44.0304
AB Aur b,1,1,Imaging,2022,Subaru Telescope,0,2860.45566,9770,0,2.4,0,162.127
AB Pic b,1,1,Imaging,2005,Paranal Observatory,0,4290.5,0,0,0,0,50.0475
AF Lep b,1,1,Imaging,2023,Paranal Observatory,7520,1664.46737,6100,1.25,1.2,4.4,26.8564
AF Lep b,1,1,Imaging,2023,Paranal Observatory,8030,1017.0509,6130,1.25,1.2,0,26.8564
AF Lep b,1,1,Imaging,2023,Paranal Observatory,9060,1366.66215,6140,0,1.13,0,26.8564
AU Mic b,1,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),8.4629991,20.12,0,0,0.5,0,9.7221
AU Mic b,1,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),8.46321,17.1,3700,0.75,0.5,4.39,9.7221
AU Mic b,1,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),8.46321,57.2094,3700,0.75,0.5,0,9.7221
AU Mic b,1,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),8.463,11.7,3700,0.75,0.5,4.39,9.7221
AU Mic b,1,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),8.463,17,3700,0.75,0.5,0,9.7221
AU Mic b,1,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),8.46321,0,0,0,0,0,9.7221
AU Mic b,1,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0,0,3588,0.7,0,4.6,9.7221
AU Mic b,1,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),8.4630004,0,0,0.75,0,0,9.7221
AU Mic c,1,2,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),18.859019,22.2,3700,0.75,0.5,4.39,9.7221
AU Mic c,1,2,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),18.858982,0,0,0.75,0,0,9.7221
AU Mic c,1,2,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),18.858991,9.6,0,0,0.5,0,9.7221
AU Mic c,1,2,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),18.859019,13.6,3700,0.75,0.5,0,9.7221
BD+03 2562 b,1,1,Radial Velocity,2017,Multiple Observatories,481.9,2034.112,4095,32.35,1.14,1.89,1070.63
BD+14 4559 b,1,1,Radial Velocity,2009,McDonald Observatory,268.94,330.5432,4864,0.86,0.49,4.26,49.352
BD+14 4559 b,1,1,Radial Velocity,2009,McDonald Observatory,268.94,467.19,5008,0.95,0.86,4.6,49.352
BD+15 2375 b,1,1,Radial Velocity,2016,Roque de los Muchachos Observatory,153.22,337.21763,4649,8.95,1.08,2.61,768.045
BD+15 2940 b,1,1,Radial Velocity,2013,McDonald Observatory,137.48,352.78,4796,14.7,1.1,2.8,426.42
BD+20 2457 b,1,2,Radial Velocity,2009,McDonald Observatory,379.63,6807.63,4137,49,2.8,1.51,1539.71
BD+20 2457 b,1,2,Radial Velocity,2009,McDonald Observatory,379.63,17668.1697,4259,71.02,10.83,1.77,1539.71
BD+20 2457 c,1,2,Radial Velocity,2009,McDonald Observatory,621.99,3963.17,4137,49,2.8,1.51,1539.71
BD+20 274 b,1,1,Radial Velocity,2012,McDonald Observatory,578.2,1334.886,4296,17.3,0.8,1.99,1322.51
BD+20 594 b,1,1,Transit,2016,K2,41.688644,0,5703,0.96,0.96,4.38,179.461
BD+20 594 b,1,1,Transit,2016,K2,41.6855,16.3,5766,0.93,0.96,4.5,179.461
BD+20 594 b,1,1,Transit,2016,K2,41.6855,22.2481,5766,1.08,1.67,4.5,179.461
BD+45 564 b,1,1,Radial Velocity,2021,Haute-Provence Observatory,307.88,432.24663,5004,0,0.81,4.22,53.622
BD+48 738 b,1,1,Radial Velocity,2011,McDonald Observatory,392.6,289.2253,4414,11,0.74,2.24,871.493
BD+48 740 b,1,1,Radial Velocity,2018,Multiple Observatories,733,540.311,4534,10.33,1.09,2.48,666.589
BD+49 828 b,1,1,Radial Velocity,2015,McDonald Observatory,2590,508.5,4943,7.6,1.52,2.85,442.042
BD+55 362 b,1,1,Radial Velocity,2021,Haute-Provence Observatory,265.59,228.83645,5012,0,0.91,4.09,52.5697
BD+60 1417 b,1,1,Imaging,2021,Wide-field Infrared Survey Explorer (WISE) Sat,0,4767.4261,4993,0.8,1,4.55,44.9543
BD+63 1405 b,1,1,Radial Velocity,2021,Haute-Provence Observatory,1198.48,1258.60049,5000,0,0.82,4.2,38.0473
BD+63 1405 b,1,1,Radial Velocity,2021,Haute-Provence Observatory,1230,3305.41543,5000,0,0.82,4.2,38.0473
BD-00 4475 b,1,1,Radial Velocity,2021,Haute-Provence Observatory,723.2,7961.6016,5040,0,0.81,4.25,42.6402
BD-06 1339 b,1,2,Radial Velocity,2013,La Silla Observatory,3.8728,8.5,4324,0,0.7,4.74,20.2695
BD-06 1339 c,1,2,Radial Velocity,2013,La Silla Observatory,125.94,53,4324,0,0.7,4.74,20.2695
BD-08 2823 b,1,2,Radial Velocity,2009,La Silla Observatory,5.6,12.7132,4816,0.71,0.5,4.43,41.3342
BD-08 2823 b,1,2,Radial Velocity,2009,La Silla Observatory,5.6,14.4,4746,0,0.74,4.13,41.3342
BD-08 2823 c,1,2,Radial Velocity,2009,La Silla Observatory,237.6,104,4746,0,0.74,4.13,41.3342
BD-10 3166 b,1,1,Radial Velocity,2000,W. M. Keck Observatory,3.487,152.55,5400,0,1.1,4.4,84.4069
BD-10 3166 b,1,1,Radial Velocity,2000,W. M. Keck Observatory,3.48777,187.5197,5393,0.91,1.47,4.69,84.4069
BD-10 3166 b,1,1,Radial Velocity,2000,W. M. Keck Observatory,3.48777,145.56,5393,0,1.01,4.68,84.4069
BD-10 3166 b,1,1,Radial Velocity,2000,W. M. Keck Observatory,3.487905,142.70495,5382.64,0.97,1,4.46,84.4069
BD-11 4672 b,1,2,Radial Velocity,2014,La Silla Observatory,1634,206.5895,4550,0.64,0.65,4.64,27.1665
BD-11 4672 b,1,2,Radial Velocity,2014,La Silla Observatory,1667,168.44,4475,0.52,0.57,4.1,27.1665
BD-11 4672 c,1,2,Radial Velocity,2020,Roque de los Muchachos Observatory,74.2,15.37,4550,0.64,0.65,4.64,27.1665
BD-13 2130 b,1,1,Radial Velocity,2007,La Silla Observatory,714.3,3368.998,0,0,2.4,0,925.214
BD-13 2130 b,1,1,Radial Velocity,2007,La Silla Observatory,714.29999,3108.3774,4545,19.17,2.12,2.2,925.214
BD-17 63 b,1,1,Radial Velocity,2008,La Silla Observatory,655.6,1620.9,4714,0.69,0.74,4.26,34.4603
BD-17 63 b,1,1,Radial Velocity,2008,La Silla Observatory,655.59998,905.8155,4665,0.74,0.31,4.19,34.4603
BD-210397 b,1,2,Radial Velocity,2023,La Silla Observatory,1891,214,4051,0.75,0.68,4.67,23.7324
BD-210397 c,1,2,Radial Velocity,2023,La Silla Observatory,6240,1525.57635,0,0,0.69,0,23.7324
BD-210397 c,1,2,Radial Velocity,2023,La Silla Observatory,6360,759,4051,0.75,0.68,4.67,23.7324
